x,u
    0.000000,    0.0000000000E+00
    0.007812,    2.0445907488E-02
    0.015625,    4.0611539036E-02
    0.023438,    6.0542456806E-02
    0.031250,    8.0274552107E-02
    0.039062,    9.9836215377E-02
    0.046875,    1.1925012618E-01
    0.054688,    1.3853447139E-01
    0.062500,    1.5770374238E-01
    0.070312,    1.7676937580E-01
    0.078125,    1.9574043155E-01
    0.085938,    2.1462391317E-01
    0.093750,    2.3342500627E-01
    0.101562,    2.5214743614E-01
    0.109375,    2.7079382539E-01
    0.117188,    2.8936553001E-01
    0.125000,    3.0786296725E-01
    0.132812,    3.2628580928E-01
    0.140625,    3.4463292360E-01
    0.148438,    3.6290249228E-01
    0.156250,    3.8109228015E-01
    0.164062,    3.9919954538E-01
    0.171875,    4.1722056270E-01
    0.179688,    4.3515181541E-01
    0.187500,    4.5298883319E-01
    0.195312,    4.7072693706E-01
    0.203125,    4.8836103082E-01
    0.210938,    5.0588554144E-01
    0.218750,    5.2329456806E-01
    0.226562,    5.4058134556E-01
    0.234375,    5.5773943663E-01
    0.242188,    5.7476079464E-01
    0.250000,    5.9163761139E-01
    0.257812,    6.0836136341E-01
    0.265625,    6.2492257357E-01
    0.273438,    6.4131140709E-01
    0.281250,    6.5751665831E-01
    0.289062,    6.7352664471E-01
    0.296875,    6.8932867050E-01
    0.304688,    7.0490849018E-01
    0.312500,    7.2025066614E-01
    0.320312,    7.3533856869E-01
    0.328125,    7.5015312433E-01
    0.335938,    7.6467370987E-01
    0.343750,    7.7887725830E-01
    0.351562,    7.9273718596E-01
    0.359375,    8.0622410774E-01
    0.367188,    8.1930458546E-01
    0.375000,    8.3193945885E-01
    0.382812,    8.4408348799E-01
    0.390625,    8.5568338633E-01
    0.398438,    8.6667436361E-01
    0.406250,    8.7697613239E-01
    0.414062,    8.8648402691E-01
    0.421875,    8.9505380392E-01
    0.429688,    9.0246796608E-01
    0.437500,    9.0836191177E-01
    0.445312,    9.1205579042E-01
    0.453125,    9.1215616465E-01
    0.460938,    9.0561199188E-01
    0.468750,    8.8548725843E-01
    0.476562,    8.3590090275E-01
    0.484375,    7.2168797255E-01
    0.492188,    4.7366046906E-01
    0.500000,   -1.2256899709E-06
    0.507812,   -4.7366189957E-01
    0.515625,   -7.2168880701E-01
    0.523438,   -8.3590155840E-01
    0.531250,   -8.8548797369E-01
    0.539062,   -9.0561264753E-01
    0.546875,   -9.1215687990E-01
    0.554688,   -9.1205620766E-01
    0.562500,   -9.0836220980E-01
    0.570312,   -9.0246808529E-01
    0.578125,   -8.9505380392E-01
    0.585938,   -8.8648414612E-01
    0.593750,   -8.7697619200E-01
    0.601562,   -8.6667442322E-01
    0.609375,   -8.5568344593E-01
    0.617188,   -8.4408348799E-01
    0.625000,   -8.3193933964E-01
    0.632812,   -8.1930428743E-01
    0.640625,   -8.0622404814E-01
    0.648438,   -7.9273700714E-01
    0.656250,   -7.7887701988E-01
    0.664062,   -7.6467359066E-01
    0.671875,   -7.5015294552E-01
    0.679688,   -7.3533827066E-01
    0.687500,   -7.2025048733E-01
    0.695312,   -7.0490813255E-01
    0.703125,   -6.8932849169E-01
    0.710938,   -6.7352664471E-01
    0.718750,   -6.5751659870E-01
    0.726562,   -6.4131122828E-01
    0.734375,   -6.2492245436E-01
    0.742188,   -6.0836124420E-01
    0.750000,   -5.9163767099E-01
    0.757812,   -5.7476073503E-01
    0.765625,   -5.5773931742E-01
    0.773438,   -5.4058128595E-01
    0.781250,   -5.2329444885E-01
    0.789062,   -5.0588554144E-01
    0.796875,   -4.8836088181E-01
    0.804688,   -4.7072678804E-01
    0.812500,   -4.5298862457E-01
    0.820312,   -4.3515163660E-01
    0.828125,   -4.1722044349E-01
    0.835938,   -3.9919942617E-01
    0.843750,   -3.8109222054E-01
    0.851562,   -3.6290237308E-01
    0.859375,   -3.4463277459E-01
    0.867188,   -3.2628563046E-01
    0.875000,   -3.0786284804E-01
    0.882812,   -2.8936544061E-01
    0.890625,   -2.7079373598E-01
    0.898438,   -2.5214740634E-01
    0.906250,   -2.3342497647E-01
    0.914062,   -2.1462391317E-01
    0.921875,   -1.9574047625E-01
    0.929688,   -1.7676946521E-01
    0.937500,   -1.5770381689E-01
    0.945312,   -1.3853460550E-01
    0.953125,   -1.1925029755E-01
    0.960938,   -9.9836371839E-02
    0.968750,   -8.0274745822E-02
    0.976562,   -6.0542695224E-02
    0.984375,   -4.0611732751E-02
    0.992188,   -2.0446015522E-02
    1.000000,    0.0000000000E+00
