x,u
    0.000000,    0.0000000000E+00
    0.007812,    2.0445759850E-02
    0.015625,    4.0611229360E-02
    0.023438,    6.0541951734E-02
    0.031250,    8.0273783378E-02
    0.039062,    9.9835182536E-02
    0.046875,    1.1924885123E-01
    0.054688,    1.3853293553E-01
    0.062500,    1.5770191880E-01
    0.070312,    1.7676729801E-01
    0.078125,    1.9573810448E-01
    0.085938,    2.1462131102E-01
    0.093750,    2.3342215520E-01
    0.101562,    2.5214439916E-01
    0.109375,    2.7079054086E-01
    0.117188,    2.8936198732E-01
    0.125000,    3.0785919746E-01
    0.132812,    3.2628180022E-01
    0.140625,    3.4462869209E-01
    0.148438,    3.6289811734E-01
    0.156250,    3.8108773323E-01
    0.164062,    3.9919466219E-01
    0.171875,    4.1721553246E-01
    0.179688,    4.3514650836E-01
    0.187500,    4.5298331112E-01
    0.195312,    4.7072123115E-01
    0.203125,    4.8835513206E-01
    0.210938,    5.0587944718E-01
    0.218750,    5.2328816850E-01
    0.226562,    5.4057482835E-01
    0.234375,    5.5773247357E-01
    0.242188,    5.7475363207E-01
    0.250000,    5.9163027112E-01
    0.257812,    6.0835374677E-01
    0.265625,    6.2491474344E-01
    0.273438,    6.4130320223E-01
    0.281250,    6.5750823647E-01
    0.289062,    6.7351803200E-01
    0.296875,    6.8931972961E-01
    0.304688,    7.0489928576E-01
    0.312500,    7.2024130706E-01
    0.320312,    7.3532885212E-01
    0.328125,    7.5014319269E-01
    0.335938,    7.6466352338E-01
    0.343750,    7.7886660474E-01
    0.351562,    7.9272631937E-01
    0.359375,    8.0621311090E-01
    0.367188,    8.1929326134E-01
    0.375000,    8.3192793630E-01
    0.382812,    8.4407188033E-01
    0.390625,    8.5567155136E-01
    0.398438,    8.6666228813E-01
    0.406250,    8.7696367688E-01
    0.414062,    8.8647130585E-01
    0.421875,    8.9504080106E-01
    0.429688,    9.0245454187E-01
    0.437500,    9.0834815641E-01
    0.445312,    9.1204159361E-01
    0.453125,    9.1214150481E-01
    0.460938,    9.0559663967E-01
    0.468750,    8.8547108067E-01
    0.476562,    8.3588386196E-01
    0.484375,    7.2167119170E-01
    0.492188,    4.7364768288E-01
    0.500000,    1.2095703989E-15
    0.507812,   -4.7364768288E-01
    0.515625,   -7.2167119170E-01
    0.523438,   -8.3588386196E-01
    0.531250,   -8.8547108067E-01
    0.539062,   -9.0559663967E-01
    0.546875,   -9.1214150481E-01
    0.554688,   -9.1204159361E-01
    0.562500,   -9.0834815641E-01
    0.570312,   -9.0245454187E-01
    0.578125,   -8.9504080106E-01
    0.585938,   -8.8647130585E-01
    0.593750,   -8.7696367688E-01
    0.601562,   -8.6666228813E-01
    0.609375,   -8.5567155136E-01
    0.617188,   -8.4407188033E-01
    0.625000,   -8.3192793630E-01
    0.632812,   -8.1929326134E-01
    0.640625,   -8.0621311090E-01
    0.648438,   -7.9272631937E-01
    0.656250,   -7.7886660474E-01
    0.664062,   -7.6466352338E-01
    0.671875,   -7.5014319269E-01
    0.679688,   -7.3532885212E-01
    0.687500,   -7.2024130706E-01
    0.695312,   -7.0489928576E-01
    0.703125,   -6.8931972961E-01
    0.710938,   -6.7351803200E-01
    0.718750,   -6.5750823647E-01
    0.726562,   -6.4130320223E-01
    0.734375,   -6.2491474344E-01
    0.742188,   -6.0835374677E-01
    0.750000,   -5.9163027112E-01
    0.757812,   -5.7475363207E-01
    0.765625,   -5.5773247357E-01
    0.773438,   -5.4057482835E-01
    0.781250,   -5.2328816850E-01
    0.789062,   -5.0587944718E-01
    0.796875,   -4.8835513206E-01
    0.804688,   -4.7072123115E-01
    0.812500,   -4.5298331112E-01
    0.820312,   -4.3514650836E-01
    0.828125,   -4.1721553246E-01
    0.835938,   -3.9919466219E-01
    0.843750,   -3.8108773323E-01
    0.851562,   -3.6289811734E-01
    0.859375,   -3.4462869209E-01
    0.867188,   -3.2628180022E-01
    0.875000,   -3.0785919746E-01
    0.882812,   -2.8936198732E-01
    0.890625,   -2.7079054086E-01
    0.898438,   -2.5214439916E-01
    0.906250,   -2.3342215520E-01
    0.914062,   -2.1462131102E-01
    0.921875,   -1.9573810448E-01
    0.929688,   -1.7676729801E-01
    0.937500,   -1.5770191880E-01
    0.945312,   -1.3853293553E-01
    0.953125,   -1.1924885123E-01
    0.960938,   -9.9835182536E-02
    0.968750,   -8.0273783378E-02
    0.976562,   -6.0541951734E-02
    0.984375,   -4.0611229360E-02
    0.992188,   -2.0445759850E-02
    1.000000,    0.0000000000E+00
