x,u
0.00000000,0.931826327E-2
0.999999978E-2,0.652278438E-1
0.199999996E-1,0.120907195
0.299999993E-1,0.176158309
0.399999991E-1,0.230781972
0.499999970E-1,0.284577668
0.599999987E-1,0.337343752
0.700000003E-1,0.388878077
0.799999982E-1,0.438978881
0.899999961E-1,0.487446010
0.999999940E-1,0.534082592
0.109999999,0.578696489
0.119999997,0.621101975
0.129999995,0.661121488
0.140000001,0.698586404
0.149999991,0.733339131
0.159999996,0.765233338
0.170000002,0.794135392
0.179999992,0.819924593
0.189999998,0.842493832
0.199999988,0.861749649
0.209999993,0.877612770
0.219999999,0.890018165
0.229999989,0.898915052
0.239999995,0.904266953
0.250000000,0.906051874
0.259999990,0.904262304
0.269999981,0.898904741
0.280000001,0.889999926
0.289999992,0.877583146
0.299999982,0.861702859
0.310000002,0.842421949
0.319999993,0.819816589
0.329999983,0.793975770
0.340000004,0.765001535
0.349999994,0.733008087
0.359999985,0.698121905
0.370000005,0.660480499
0.379999995,0.620232522
0.389999986,0.577536762
0.399999976,0.532561779
0.409999996,0.485484898
0.419999987,0.436492026
0.429999977,0.385776579
0.439999998,0.333538592
0.449999988,0.279984236
0.459999979,0.225324988
0.469999999,0.169776469
0.479999989,0.113557890
0.489999980,0.568911843E-1
0.500000000,-0.411611758E-7
0.509999990,-0.568912700E-1
0.519999981,-0.113557965
0.529999971,-0.169776499
0.539999962,-0.225325003
0.550000012,-0.279984295
0.560000002,-0.333538592
0.569999993,-0.385776550
0.579999983,-0.436491996
0.589999974,-0.485484898
0.599999964,-0.532561719
0.610000014,-0.577536762
0.620000005,-0.620232582
0.629999995,-0.660480559
0.639999986,-0.698122025
0.649999976,-0.733008206
0.659999967,-0.765001714
0.669999957,-0.793976009
0.680000007,-0.819816887
0.689999998,-0.842422247
0.699999988,-0.861703098
0.709999979,-0.877583265
0.719999969,-0.890000224
0.729999959,-0.898905039
0.740000010,-0.904262662
0.750000000,-0.906052172
0.759999990,-0.904267251
0.769999981,-0.898915172
0.779999971,-0.890018225
0.789999962,-0.877612889
0.799999952,-0.861749649
0.810000002,-0.842493594
0.819999993,-0.819924235
0.829999983,-0.794134974
0.839999974,-0.765232742
0.849999964,-0.733338654
0.859999955,-0.698586106
0.870000005,-0.661121249
0.879999995,-0.621101916
0.889999986,-0.578696489
0.899999976,-0.534082532
0.909999967,-0.487445861
0.919999957,-0.438978732
0.930000007,-0.388877839
0.939999998,-0.337343484
0.949999988,-0.284577370
0.959999979,-0.230781689
0.969999969,-0.176158071
0.979999959,-0.120907009
0.989999950,-0.652277321E-1
1.00000000,-0.931824651E-2
