x,u
    0.000000,    9.3182430968E-03
    0.010000,    6.5227701677E-02
    0.020000,    1.2090695667E-01
    0.030000,    1.7615797881E-01
    0.040000,    2.3078158033E-01
    0.050000,    2.8457724904E-01
    0.060000,    3.3734334197E-01
    0.070000,    3.8887766942E-01
    0.080000,    4.3897845233E-01
    0.090000,    4.8744559313E-01
    0.100000,    5.3408217060E-01
    0.110000,    5.7869605424E-01
    0.120000,    6.2110153381E-01
    0.130000,    6.6112087279E-01
    0.140000,    6.9858571647E-01
    0.150000,    7.3333831074E-01
    0.160000,    7.6523251302E-01
    0.170000,    7.9413459824E-01
    0.180000,    8.1992387802E-01
    0.190000,    8.4249316044E-01
    0.200000,    8.6174908084E-01
    0.210000,    8.7761233273E-01
    0.220000,    8.9001782324E-01
    0.230000,    8.9891477182E-01
    0.240000,    9.0426676456E-01
    0.250000,    9.0605177121E-01
    0.260000,    9.0426212767E-01
    0.270000,    8.9890448368E-01
    0.280000,    8.8999971382E-01
    0.290000,    8.7758278894E-01
    0.300000,    8.6170260520E-01
    0.310000,    8.4242176841E-01
    0.320000,    8.1981633151E-01
    0.330000,    7.9397548447E-01
    0.340000,    7.6500119578E-01
    0.350000,    7.3300780606E-01
    0.360000,    6.9812157434E-01
    0.370000,    6.6048017831E-01
    0.380000,    6.2023217010E-01
    0.390000,    5.7753638956E-01
    0.400000,    5.3256133708E-01
    0.410000,    4.8548450848E-01
    0.420000,    4.3649169441E-01
    0.430000,    3.8577624707E-01
    0.440000,    3.3353831714E-01
    0.450000,    2.7998406387E-01
    0.460000,    2.2532484141E-01
    0.470000,    1.6977636475E-01
    0.480000,    1.1355785834E-01
    0.490000,    5.6891190937E-02
    0.500000,   -2.4095865467E-17
    0.510000,   -5.6891190937E-02
    0.520000,   -1.1355785834E-01
    0.530000,   -1.6977636475E-01
    0.540000,   -2.2532484141E-01
    0.550000,   -2.7998406387E-01
    0.560000,   -3.3353831714E-01
    0.570000,   -3.8577624707E-01
    0.580000,   -4.3649169441E-01
    0.590000,   -4.8548450848E-01
    0.600000,   -5.3256133708E-01
    0.610000,   -5.7753638956E-01
    0.620000,   -6.2023217010E-01
    0.630000,   -6.6048017831E-01
    0.640000,   -6.9812157434E-01
    0.650000,   -7.3300780606E-01
    0.660000,   -7.6500119578E-01
    0.670000,   -7.9397548447E-01
    0.680000,   -8.1981633151E-01
    0.690000,   -8.4242176841E-01
    0.700000,   -8.6170260520E-01
    0.710000,   -8.7758278894E-01
    0.720000,   -8.8999971382E-01
    0.730000,   -8.9890448368E-01
    0.740000,   -9.0426212767E-01
    0.750000,   -9.0605177121E-01
    0.760000,   -9.0426676456E-01
    0.770000,   -8.9891477182E-01
    0.780000,   -8.9001782324E-01
    0.790000,   -8.7761233273E-01
    0.800000,   -8.6174908084E-01
    0.810000,   -8.4249316044E-01
    0.820000,   -8.1992387802E-01
    0.830000,   -7.9413459824E-01
    0.840000,   -7.6523251302E-01
    0.850000,   -7.3333831074E-01
    0.860000,   -6.9858571647E-01
    0.870000,   -6.6112087279E-01
    0.880000,   -6.2110153381E-01
    0.890000,   -5.7869605424E-01
    0.900000,   -5.3408217060E-01
    0.910000,   -4.8744559313E-01
    0.920000,   -4.3897845233E-01
    0.930000,   -3.8887766942E-01
    0.940000,   -3.3734334197E-01
    0.950000,   -2.8457724904E-01
    0.960000,   -2.3078158033E-01
    0.970000,   -1.7615797881E-01
    0.980000,   -1.2090695667E-01
    0.990000,   -6.5227701677E-02
    1.000000,   -9.3182430968E-03
