x,u
    0.000000,    0.0000000000E+00
    0.001953,    1.2695312500E-02
    0.003906,    2.4414062500E-02
    0.005859,    3.7109375000E-02
    0.007812,    4.8828125000E-02
    0.009766,    6.1523437500E-02
    0.011719,    7.3242187500E-02
    0.013672,    8.5937500000E-02
    0.015625,    9.7656250000E-02
    0.017578,    1.1035156250E-01
    0.019531,    1.2207031250E-01
    0.021484,    1.3476562500E-01
    0.023438,    1.4648437500E-01
    0.025391,    1.5917968750E-01
    0.027344,    1.7089843750E-01
    0.029297,    1.8261718750E-01
    0.031250,    1.9531250000E-01
    0.033203,    2.0703125000E-01
    0.035156,    2.1875000000E-01
    0.037109,    2.3144531250E-01
    0.039062,    2.4316406250E-01
    0.041016,    2.5488281250E-01
    0.042969,    2.6660156250E-01
    0.044922,    2.7832031250E-01
    0.046875,    2.9003906250E-01
    0.048828,    3.0175781250E-01
    0.050781,    3.1347656250E-01
    0.052734,    3.2519531250E-01
    0.054688,    3.3691406250E-01
    0.056641,    3.4863281250E-01
    0.058594,    3.6035156250E-01
    0.060547,    3.7109375000E-01
    0.062500,    3.8281250000E-01
    0.064453,    3.9355468750E-01
    0.066406,    4.0527343750E-01
    0.068359,    4.1601562500E-01
    0.070312,    4.2773437500E-01
    0.072266,    4.3847656250E-01
    0.074219,    4.4921875000E-01
    0.076172,    4.6093750000E-01
    0.078125,    4.7167968750E-01
    0.080078,    4.8242187500E-01
    0.082031,    4.9316406250E-01
    0.083984,    5.0390625000E-01
    0.085938,    5.1367187500E-01
    0.087891,    5.2441406250E-01
    0.089844,    5.3515625000E-01
    0.091797,    5.4492187500E-01
    0.093750,    5.5566406250E-01
    0.095703,    5.6542968750E-01
    0.097656,    5.7617187500E-01
    0.099609,    5.8593750000E-01
    0.101562,    5.9570312500E-01
    0.103516,    6.0546875000E-01
    0.105469,    6.1523437500E-01
    0.107422,    6.2500000000E-01
    0.109375,    6.3476562500E-01
    0.111328,    6.4355468750E-01
    0.113281,    6.5332031250E-01
    0.115234,    6.6210937500E-01
    0.117188,    6.7187500000E-01
    0.119141,    6.8066406250E-01
    0.121094,    6.8945312500E-01
    0.123047,    6.9824218750E-01
    0.125000,    7.0703125000E-01
    0.126953,    7.1582031250E-01
    0.128906,    7.2460937500E-01
    0.130859,    7.3242187500E-01
    0.132812,    7.4121093750E-01
    0.134766,    7.4902343750E-01
    0.136719,    7.5683593750E-01
    0.138672,    7.6562500000E-01
    0.140625,    7.7343750000E-01
    0.142578,    7.8027343750E-01
    0.144531,    7.8808593750E-01
    0.146484,    7.9589843750E-01
    0.148438,    8.0273437500E-01
    0.150391,    8.1054687500E-01
    0.152344,    8.1738281250E-01
    0.154297,    8.2421875000E-01
    0.156250,    8.3105468750E-01
    0.158203,    8.3789062500E-01
    0.160156,    8.4472656250E-01
    0.162109,    8.5156250000E-01
    0.164062,    8.5742187500E-01
    0.166016,    8.6425781250E-01
    0.167969,    8.7011718750E-01
    0.169922,    8.7597656250E-01
    0.171875,    8.8183593750E-01
    0.173828,    8.8769531250E-01
    0.175781,    8.9355468750E-01
    0.177734,    8.9843750000E-01
    0.179688,    9.0429687500E-01
    0.181641,    9.0917968750E-01
    0.183594,    9.1406250000E-01
    0.185547,    9.1894531250E-01
    0.187500,    9.2382812500E-01
    0.189453,    9.2871093750E-01
    0.191406,    9.3261718750E-01
    0.193359,    9.3750000000E-01
    0.195312,    9.4140625000E-01
    0.197266,    9.4531250000E-01
    0.199219,    9.4921875000E-01
    0.201172,    9.5312500000E-01
    0.203125,    9.5703125000E-01
    0.205078,    9.5996093750E-01
    0.207031,    9.6386718750E-01
    0.208984,    9.6679687500E-01
    0.210938,    9.6972656250E-01
    0.212891,    9.7265625000E-01
    0.214844,    9.7558593750E-01
    0.216797,    9.7851562500E-01
    0.218750,    9.8046875000E-01
    0.220703,    9.8339843750E-01
    0.222656,    9.8535156250E-01
    0.224609,    9.8730468750E-01
    0.226562,    9.8925781250E-01
    0.228516,    9.9121093750E-01
    0.230469,    9.9218750000E-01
    0.232422,    9.9414062500E-01
    0.234375,    9.9511718750E-01
    0.236328,    9.9609375000E-01
    0.238281,    9.9707031250E-01
    0.240234,    9.9804687500E-01
    0.242188,    9.9902343750E-01
    0.244141,    9.9902343750E-01
    0.246094,    1.0000000000E+00
    0.248047,    1.0000000000E+00
    0.250000,    1.0000000000E+00
    0.251953,    1.0000000000E+00
    0.253906,    1.0000000000E+00
    0.255859,    9.9902343750E-01
    0.257812,    9.9902343750E-01
    0.259766,    9.9804687500E-01
    0.261719,    9.9707031250E-01
    0.263672,    9.9609375000E-01
    0.265625,    9.9511718750E-01
    0.267578,    9.9414062500E-01
    0.269531,    9.9218750000E-01
    0.271484,    9.9121093750E-01
    0.273438,    9.8925781250E-01
    0.275391,    9.8730468750E-01
    0.277344,    9.8535156250E-01
    0.279297,    9.8339843750E-01
    0.281250,    9.8046875000E-01
    0.283203,    9.7851562500E-01
    0.285156,    9.7558593750E-01
    0.287109,    9.7265625000E-01
    0.289062,    9.6972656250E-01
    0.291016,    9.6679687500E-01
    0.292969,    9.6386718750E-01
    0.294922,    9.5996093750E-01
    0.296875,    9.5703125000E-01
    0.298828,    9.5312500000E-01
    0.300781,    9.4921875000E-01
    0.302734,    9.4531250000E-01
    0.304688,    9.4140625000E-01
    0.306641,    9.3750000000E-01
    0.308594,    9.3261718750E-01
    0.310547,    9.2871093750E-01
    0.312500,    9.2382812500E-01
    0.314453,    9.1894531250E-01
    0.316406,    9.1406250000E-01
    0.318359,    9.0917968750E-01
    0.320312,    9.0429687500E-01
    0.322266,    8.9843750000E-01
    0.324219,    8.9355468750E-01
    0.326172,    8.8769531250E-01
    0.328125,    8.8183593750E-01
    0.330078,    8.7597656250E-01
    0.332031,    8.7011718750E-01
    0.333984,    8.6425781250E-01
    0.335938,    8.5742187500E-01
    0.337891,    8.5156250000E-01
    0.339844,    8.4472656250E-01
    0.341797,    8.3789062500E-01
    0.343750,    8.3105468750E-01
    0.345703,    8.2421875000E-01
    0.347656,    8.1738281250E-01
    0.349609,    8.1054687500E-01
    0.351562,    8.0273437500E-01
    0.353516,    7.9589843750E-01
    0.355469,    7.8808593750E-01
    0.357422,    7.8027343750E-01
    0.359375,    7.7343750000E-01
    0.361328,    7.6562500000E-01
    0.363281,    7.5683593750E-01
    0.365234,    7.4902343750E-01
    0.367188,    7.4121093750E-01
    0.369141,    7.3242187500E-01
    0.371094,    7.2460937500E-01
    0.373047,    7.1582031250E-01
    0.375000,    7.0703125000E-01
    0.376953,    6.9824218750E-01
    0.378906,    6.8945312500E-01
    0.380859,    6.8066406250E-01
    0.382812,    6.7187500000E-01
    0.384766,    6.6210937500E-01
    0.386719,    6.5332031250E-01
    0.388672,    6.4355468750E-01
    0.390625,    6.3476562500E-01
    0.392578,    6.2500000000E-01
    0.394531,    6.1523437500E-01
    0.396484,    6.0546875000E-01
    0.398438,    5.9570312500E-01
    0.400391,    5.8593750000E-01
    0.402344,    5.7617187500E-01
    0.404297,    5.6542968750E-01
    0.406250,    5.5566406250E-01
    0.408203,    5.4492187500E-01
    0.410156,    5.3515625000E-01
    0.412109,    5.2441406250E-01
    0.414062,    5.1367187500E-01
    0.416016,    5.0390625000E-01
    0.417969,    4.9316406250E-01
    0.419922,    4.8242187500E-01
    0.421875,    4.7167968750E-01
    0.423828,    4.6093750000E-01
    0.425781,    4.4921875000E-01
    0.427734,    4.3847656250E-01
    0.429688,    4.2773437500E-01
    0.431641,    4.1601562500E-01
    0.433594,    4.0527343750E-01
    0.435547,    3.9355468750E-01
    0.437500,    3.8281250000E-01
    0.439453,    3.7109375000E-01
    0.441406,    3.6035156250E-01
    0.443359,    3.4863281250E-01
    0.445312,    3.3691406250E-01
    0.447266,    3.2519531250E-01
    0.449219,    3.1347656250E-01
    0.451172,    3.0175781250E-01
    0.453125,    2.9003906250E-01
    0.455078,    2.7832031250E-01
    0.457031,    2.6660156250E-01
    0.458984,    2.5488281250E-01
    0.460938,    2.4316406250E-01
    0.462891,    2.3144531250E-01
    0.464844,    2.1875000000E-01
    0.466797,    2.0703125000E-01
    0.468750,    1.9531250000E-01
    0.470703,    1.8261718750E-01
    0.472656,    1.7089843750E-01
    0.474609,    1.5917968750E-01
    0.476562,    1.4648437500E-01
    0.478516,    1.3476562500E-01
    0.480469,    1.2207031250E-01
    0.482422,    1.1035156250E-01
    0.484375,    9.7656250000E-02
    0.486328,    8.5937500000E-02
    0.488281,    7.3242187500E-02
    0.490234,    6.1523437500E-02
    0.492188,    4.8828125000E-02
    0.494141,    3.7109375000E-02
    0.496094,    2.4414062500E-02
    0.498047,    1.2695312500E-02
    0.500000,    0.0000000000E+00
    0.501953,   -1.2695312500E-02
    0.503906,   -2.4414062500E-02
    0.505859,   -3.7109375000E-02
    0.507812,   -4.8828125000E-02
    0.509766,   -6.1523437500E-02
    0.511719,   -7.3242187500E-02
    0.513672,   -8.5937500000E-02
    0.515625,   -9.7656250000E-02
    0.517578,   -1.1035156250E-01
    0.519531,   -1.2207031250E-01
    0.521484,   -1.3476562500E-01
    0.523438,   -1.4648437500E-01
    0.525391,   -1.5917968750E-01
    0.527344,   -1.7089843750E-01
    0.529297,   -1.8261718750E-01
    0.531250,   -1.9531250000E-01
    0.533203,   -2.0703125000E-01
    0.535156,   -2.1875000000E-01
    0.537109,   -2.3144531250E-01
    0.539062,   -2.4316406250E-01
    0.541016,   -2.5488281250E-01
    0.542969,   -2.6660156250E-01
    0.544922,   -2.7832031250E-01
    0.546875,   -2.9003906250E-01
    0.548828,   -3.0175781250E-01
    0.550781,   -3.1347656250E-01
    0.552734,   -3.2519531250E-01
    0.554688,   -3.3691406250E-01
    0.556641,   -3.4863281250E-01
    0.558594,   -3.6035156250E-01
    0.560547,   -3.7109375000E-01
    0.562500,   -3.8281250000E-01
    0.564453,   -3.9355468750E-01
    0.566406,   -4.0527343750E-01
    0.568359,   -4.1601562500E-01
    0.570312,   -4.2773437500E-01
    0.572266,   -4.3847656250E-01
    0.574219,   -4.4921875000E-01
    0.576172,   -4.6093750000E-01
    0.578125,   -4.7167968750E-01
    0.580078,   -4.8242187500E-01
    0.582031,   -4.9316406250E-01
    0.583984,   -5.0390625000E-01
    0.585938,   -5.1367187500E-01
    0.587891,   -5.2441406250E-01
    0.589844,   -5.3515625000E-01
    0.591797,   -5.4492187500E-01
    0.593750,   -5.5566406250E-01
    0.595703,   -5.6542968750E-01
    0.597656,   -5.7617187500E-01
    0.599609,   -5.8593750000E-01
    0.601562,   -5.9570312500E-01
    0.603516,   -6.0546875000E-01
    0.605469,   -6.1523437500E-01
    0.607422,   -6.2500000000E-01
    0.609375,   -6.3476562500E-01
    0.611328,   -6.4355468750E-01
    0.613281,   -6.5332031250E-01
    0.615234,   -6.6210937500E-01
    0.617188,   -6.7187500000E-01
    0.619141,   -6.8066406250E-01
    0.621094,   -6.8945312500E-01
    0.623047,   -6.9824218750E-01
    0.625000,   -7.0703125000E-01
    0.626953,   -7.1582031250E-01
    0.628906,   -7.2460937500E-01
    0.630859,   -7.3242187500E-01
    0.632812,   -7.4121093750E-01
    0.634766,   -7.4902343750E-01
    0.636719,   -7.5683593750E-01
    0.638672,   -7.6562500000E-01
    0.640625,   -7.7343750000E-01
    0.642578,   -7.8027343750E-01
    0.644531,   -7.8808593750E-01
    0.646484,   -7.9589843750E-01
    0.648438,   -8.0273437500E-01
    0.650391,   -8.1054687500E-01
    0.652344,   -8.1738281250E-01
    0.654297,   -8.2421875000E-01
    0.656250,   -8.3105468750E-01
    0.658203,   -8.3789062500E-01
    0.660156,   -8.4472656250E-01
    0.662109,   -8.5156250000E-01
    0.664062,   -8.5742187500E-01
    0.666016,   -8.6425781250E-01
    0.667969,   -8.7011718750E-01
    0.669922,   -8.7597656250E-01
    0.671875,   -8.8183593750E-01
    0.673828,   -8.8769531250E-01
    0.675781,   -8.9355468750E-01
    0.677734,   -8.9843750000E-01
    0.679688,   -9.0429687500E-01
    0.681641,   -9.0917968750E-01
    0.683594,   -9.1406250000E-01
    0.685547,   -9.1894531250E-01
    0.687500,   -9.2382812500E-01
    0.689453,   -9.2871093750E-01
    0.691406,   -9.3261718750E-01
    0.693359,   -9.3750000000E-01
    0.695312,   -9.4140625000E-01
    0.697266,   -9.4531250000E-01
    0.699219,   -9.4921875000E-01
    0.701172,   -9.5312500000E-01
    0.703125,   -9.5703125000E-01
    0.705078,   -9.5996093750E-01
    0.707031,   -9.6386718750E-01
    0.708984,   -9.6679687500E-01
    0.710938,   -9.6972656250E-01
    0.712891,   -9.7265625000E-01
    0.714844,   -9.7558593750E-01
    0.716797,   -9.7851562500E-01
    0.718750,   -9.8046875000E-01
    0.720703,   -9.8339843750E-01
    0.722656,   -9.8535156250E-01
    0.724609,   -9.8730468750E-01
    0.726562,   -9.8925781250E-01
    0.728516,   -9.9121093750E-01
    0.730469,   -9.9218750000E-01
    0.732422,   -9.9414062500E-01
    0.734375,   -9.9511718750E-01
    0.736328,   -9.9609375000E-01
    0.738281,   -9.9707031250E-01
    0.740234,   -9.9804687500E-01
    0.742188,   -9.9902343750E-01
    0.744141,   -9.9902343750E-01
    0.746094,   -1.0000000000E+00
    0.748047,   -1.0000000000E+00
    0.750000,   -1.0000000000E+00
    0.751953,   -1.0000000000E+00
    0.753906,   -1.0000000000E+00
    0.755859,   -9.9902343750E-01
    0.757812,   -9.9902343750E-01
    0.759766,   -9.9804687500E-01
    0.761719,   -9.9707031250E-01
    0.763672,   -9.9609375000E-01
    0.765625,   -9.9511718750E-01
    0.767578,   -9.9414062500E-01
    0.769531,   -9.9218750000E-01
    0.771484,   -9.9121093750E-01
    0.773438,   -9.8925781250E-01
    0.775391,   -9.8730468750E-01
    0.777344,   -9.8535156250E-01
    0.779297,   -9.8339843750E-01
    0.781250,   -9.8046875000E-01
    0.783203,   -9.7851562500E-01
    0.785156,   -9.7558593750E-01
    0.787109,   -9.7265625000E-01
    0.789062,   -9.6972656250E-01
    0.791016,   -9.6679687500E-01
    0.792969,   -9.6386718750E-01
    0.794922,   -9.5996093750E-01
    0.796875,   -9.5703125000E-01
    0.798828,   -9.5312500000E-01
    0.800781,   -9.4921875000E-01
    0.802734,   -9.4531250000E-01
    0.804688,   -9.4140625000E-01
    0.806641,   -9.3750000000E-01
    0.808594,   -9.3261718750E-01
    0.810547,   -9.2871093750E-01
    0.812500,   -9.2382812500E-01
    0.814453,   -9.1894531250E-01
    0.816406,   -9.1406250000E-01
    0.818359,   -9.0917968750E-01
    0.820312,   -9.0429687500E-01
    0.822266,   -8.9843750000E-01
    0.824219,   -8.9355468750E-01
    0.826172,   -8.8769531250E-01
    0.828125,   -8.8183593750E-01
    0.830078,   -8.7597656250E-01
    0.832031,   -8.7011718750E-01
    0.833984,   -8.6425781250E-01
    0.835938,   -8.5742187500E-01
    0.837891,   -8.5156250000E-01
    0.839844,   -8.4472656250E-01
    0.841797,   -8.3789062500E-01
    0.843750,   -8.3105468750E-01
    0.845703,   -8.2421875000E-01
    0.847656,   -8.1738281250E-01
    0.849609,   -8.1054687500E-01
    0.851562,   -8.0273437500E-01
    0.853516,   -7.9589843750E-01
    0.855469,   -7.8808593750E-01
    0.857422,   -7.8027343750E-01
    0.859375,   -7.7343750000E-01
    0.861328,   -7.6562500000E-01
    0.863281,   -7.5683593750E-01
    0.865234,   -7.4902343750E-01
    0.867188,   -7.4121093750E-01
    0.869141,   -7.3242187500E-01
    0.871094,   -7.2460937500E-01
    0.873047,   -7.1582031250E-01
    0.875000,   -7.0703125000E-01
    0.876953,   -6.9824218750E-01
    0.878906,   -6.8945312500E-01
    0.880859,   -6.8066406250E-01
    0.882812,   -6.7187500000E-01
    0.884766,   -6.6210937500E-01
    0.886719,   -6.5332031250E-01
    0.888672,   -6.4355468750E-01
    0.890625,   -6.3476562500E-01
    0.892578,   -6.2500000000E-01
    0.894531,   -6.1523437500E-01
    0.896484,   -6.0546875000E-01
    0.898438,   -5.9570312500E-01
    0.900391,   -5.8593750000E-01
    0.902344,   -5.7617187500E-01
    0.904297,   -5.6542968750E-01
    0.906250,   -5.5566406250E-01
    0.908203,   -5.4492187500E-01
    0.910156,   -5.3515625000E-01
    0.912109,   -5.2441406250E-01
    0.914062,   -5.1367187500E-01
    0.916016,   -5.0390625000E-01
    0.917969,   -4.9316406250E-01
    0.919922,   -4.8242187500E-01
    0.921875,   -4.7167968750E-01
    0.923828,   -4.6093750000E-01
    0.925781,   -4.4921875000E-01
    0.927734,   -4.3847656250E-01
    0.929688,   -4.2773437500E-01
    0.931641,   -4.1601562500E-01
    0.933594,   -4.0527343750E-01
    0.935547,   -3.9355468750E-01
    0.937500,   -3.8281250000E-01
    0.939453,   -3.7109375000E-01
    0.941406,   -3.6035156250E-01
    0.943359,   -3.4863281250E-01
    0.945312,   -3.3691406250E-01
    0.947266,   -3.2519531250E-01
    0.949219,   -3.1347656250E-01
    0.951172,   -3.0175781250E-01
    0.953125,   -2.9003906250E-01
    0.955078,   -2.7832031250E-01
    0.957031,   -2.6660156250E-01
    0.958984,   -2.5488281250E-01
    0.960938,   -2.4316406250E-01
    0.962891,   -2.3144531250E-01
    0.964844,   -2.1875000000E-01
    0.966797,   -2.0703125000E-01
    0.968750,   -1.9531250000E-01
    0.970703,   -1.8261718750E-01
    0.972656,   -1.7089843750E-01
    0.974609,   -1.5917968750E-01
    0.976562,   -1.4648437500E-01
    0.978516,   -1.3476562500E-01
    0.980469,   -1.2207031250E-01
    0.982422,   -1.1035156250E-01
    0.984375,   -9.7656250000E-02
    0.986328,   -8.5937500000E-02
    0.988281,   -7.3242187500E-02
    0.990234,   -6.1523437500E-02
    0.992188,   -4.8828125000E-02
    0.994141,   -3.7109375000E-02
    0.996094,   -2.4414062500E-02
    0.998047,   -1.2695312500E-02
    1.000000,    0.0000000000E+00
