precision,n_elements,version,seconds
fp16,32,plain,0.001
fp16,32,ks,0.001
fp32,32,plain,0.001
fp32,32,ks,0.001
fp64,32,plain,0.001
fp64,32,ks,0.001
fp128,32,plain,0.001
fp128,32,ks,0.001
fp16,64,plain,0.001
fp16,64,ks,0.001
fp32,64,plain,0.001
fp32,64,ks,0.001
fp64,64,plain,0.001
fp64,64,ks,0.001
fp128,64,plain,0.001
fp128,64,ks,0.001
fp16,128,plain,0.001
fp16,128,ks,0.001
fp32,128,plain,0.001
fp32,128,ks,0.001
fp64,128,plain,0.001
fp64,128,ks,0.001
fp128,128,plain,0.001
fp128,128,ks,0.001
fp16,256,plain,0.001
fp16,256,ks,0.001
fp32,256,plain,0.001
fp32,256,ks,0.001
fp64,256,plain,0.001
fp64,256,ks,0.001
fp128,256,plain,0.001
fp128,256,ks,0.001
fp16,512,plain,0.001
fp16,512,ks,0.001
fp32,512,plain,0.001
fp32,512,ks,0.001
fp64,512,plain,0.001
fp64,512,ks,0.001
fp128,512,plain,0.001
fp128,512,ks,0.001
fp16,32,plain,0.001
fp16,32,ks,0.028
fp32,32,plain,0.001
fp32,32,ks,0.026
fp64,32,plain,0.001
fp64,32,ks,0.026
fp128,32,plain,0.001
fp128,32,ks,0.050
fp16,64,plain,0.001
fp16,64,ks,0.118
fp32,64,plain,0.001
fp32,64,ks,0.119
fp64,64,plain,0.001
fp64,64,ks,0.121
fp128,64,plain,0.001
fp128,64,ks,0.353
fp16,128,plain,0.001
fp16,128,ks,1.585
fp32,128,plain,0.001
fp32,128,ks,1.593
fp64,128,plain,0.001
fp64,128,ks,1.643
fp128,128,plain,0.001
fp128,128,ks,5.080
fp16,256,plain,0.001
fp16,256,ks,46.402
fp32,256,plain,0.001
fp32,256,ks,45.856
fp64,256,plain,0.001
fp64,256,ks,47.209
fp128,256,plain,0.001
fp128,256,ks,146.185
fp16,512,plain,0.001
fp16,32,plain,0.019
fp16,32,ks,0.025
fp32,32,plain,0.018
fp32,32,ks,0.025
fp64,32,plain,0.017
fp64,32,ks,0.026
fp128,32,plain,0.031
fp128,32,ks,0.050
fp16,64,plain,0.041
fp16,64,ks,0.221
fp32,64,plain,0.040
fp32,64,ks,0.120
fp64,64,plain,0.038
fp64,64,ks,0.125
fp128,64,plain,0.178
fp128,64,ks,0.343
fp16,128,plain,0.328
fp16,128,ks,1.596
fp32,128,plain,0.328
fp32,128,ks,1.598
fp64,128,plain,0.347
fp64,128,ks,1.646
fp128,128,plain,2.788
fp128,128,ks,5.032
fp16,256,plain,8.638
fp16,256,ks,46.847
fp32,256,plain,8.627
fp32,256,ks,46.046
fp64,256,plain,9.762
fp64,256,ks,46.716
fp128,256,plain,86.319
fp128,256,ks,146.543
fp16,512,plain,431.513
fp16,512,ks,1512.537
fp32,512,plain,265.678
